,Primero,Segundo,Tercero
query-1,texto-3 d=0.47140452079103173,texto-17 d=0.47140452079103173,texto-15 d=0.4082482904638631
query-2,texto-3 d=0.4629100498862757,texto-17 d=0.4629100498862757,texto-1 d=0.4008918628686366
query-3,texto-19 d=0.35603449745815596,texto-18 d=0.34259435491376583,texto-15 d=0.31844693546056513
query-4,texto-20 d=0.415900195928029,texto-3 d=0.4026936331284146,texto-16 d=0.35149982013099745
query-5,texto-18 d=0.2847473987257497,texto-16 d=0.24659848095803594,texto-5 d=0.23249527748763857
query-6,texto-18 d=0.4003203845127179,texto-16 d=0.34668762264076824,texto-3 d=0.3202563076101743
query-7,texto-18 d=0.3692744729379982,texto-11 d=0.3626203338114211,texto-15 d=0.31980107453341566
query-8,texto-3 d=0.4588314677411236,texto-6 d=0.4588314677411236,texto-16 d=0.4588314677411236
query-9,texto-3 d=0.44360697536713456,texto-18 d=0.3841749099639162,texto-18 d=0.3436164855716711
query-10,texto-16 d=0.4244373438135827,texto-17 d=0.420084025208403,texto-3 d=0.35007002100700246
query-11,texto-3 d=0.4026936331284146,texto-17 d=0.4026936331284146,texto-15 d=0.34874291623145787
query-12,texto-3 d=0.5539117094069973,texto-17 d=0.5539117094069973,texto-3 d=0.5222329678670935
query-13,texto-19 d=0.329252303934259,texto-3 d=0.2715627232967842,texto-17 d=0.2715627232967842
query-14,texto-7 d=0.5121475197315839,texto-17 d=0.5121475197315839,texto-15 d=0.4435327625727437
query-15,texto-15 d=0.6292532049656926,texto-17 d=0.5802588531856595,texto-12 d=0.5393598899705937
query-16,texto-18 d=0.4895920490896837,texto-16 d=0.423999152002544,texto-11 d=0.40064154010750197
query-17,texto-3 d=0.39735970711951313,texto-19 d=0.3077935056255462,texto-16 d=0.3034884893334419
query-18,texto-3 d=0.5306686305052324,texto-19 d=0.4110541536602924,texto-16 d=0.39703333358837206
query-19,texto-9 d=0.6240199689585151,texto-3 d=0.4399413450640599,texto-15 d=0.3840122885898554
query-20,texto-18 d=0.5773502691896258,texto-17 d=0.5459486832355505,texto-3 d=0.5132002392796674
